"nzffdRecordNumber","catchmentName","waterBody","waterTemperature","minLength","samplingMethod"
1239,"Waitemata Hbr","Rangitopuni Stream",19.8,20,"Other net - Unknown type of net"
2440,"Waikato R","Rotohouhou Stream",10,34,"Electric fishing - Type unknown"
2441,"Waikato R","Whirinaki Stream",18.2,62,"Electric fishing - Type unknown"
2477,"Taieri R","Contour Channel tributary",9,15,"Other net - Hand net"
2697,"Waitakere R","Waitakere River",17.5,40,"Electric fishing - Type unknown"
2698,"Waitakere R","Waitupu Stream",17.5,20,"Electric fishing - Type unknown"
2700,"Waitakere R","Waitakere River",17.5,30,"Electric fishing - Type unknown"
3248,"Mokau R","Mangakawhia Stream",17.2,80,"Electric fishing - Backpack"
4250,"Orewa R","Orewa River tributary",23.5,30,"Electric fishing - Backpack"
4515,"Whanganui R","Pepenui Stream",20.7,45,"Electric fishing - Type unknown"
4516,"Whanganui R","Taringapupu Stream",18.8,60,"Electric fishing - Type unknown"
4517,"Whanganui R","Pungapunga River",23,40,"Electric fishing - Type unknown"
4525,"Whanganui R","Pukerimu Stream",11.3,25,"Electric fishing - Type unknown"
5965,"Awakino R","Kuriwera Stream",16,40,"Electric fishing - Backpack"
5966,"Awakino R","Kuriwera Stream",16,40,"Electric fishing - Backpack"
5967,"Awakino R","Kuriwera Stream",16,50,"Electric fishing - Backpack"
5983,"Mokau R","Totara Stream",17,50,"Electric fishing - Backpack"
6276,"Clutha R","Carsons Creek tributary",11.5,116,"Electric fishing - Type unknown"
6380,"Clutha R","Talla Burn",12.1,39,"Electric fishing - Type unknown"
7111,"Waikato R","Mangapiko Stream tributary",20,50,"Other net - Push net"
7733,"Kenepuru Snd","Unnamed stream Double Bay",13,70,"Other net - combination of nets and traps"
7734,"Pelorus Snd","Unnamed stream Maori Bay",13,80,"Traps - Gee minnow"
7776,"Piako R","Waitakaruru Stream",15,50,"Other net - Push net"
7863,"Shag R","Maori Tommy Gully",3.8,20,"Electric fishing - Type unknown"
8171,"Kohaihai R","Kohaihai River tributary",8.5,30,"Electric fishing - Backpack"
8208,"Ngakawau R","Steep Creek",13.5,30,"Electric fishing - Type unknown"
8597,"Mokau R","Panirau Stream",16,50,"Electric fishing - Backpack"
8613,"Mokau R","Mokau River tributary",21.5,75,"Electric fishing - Backpack"
8623,"Mokau R","Mangaharakeke Stream",18.2,40,"Electric fishing - Backpack"
8626,"Mokau R","Mangaharakeke Stream",17,40,"Electric fishing - Backpack"
8627,"Mokau R","Mangaharakeke Stream",17,30,"Electric fishing - Backpack"
8630,"Mokau R","Waipotipoti Stream",19,30,"Electric fishing - Backpack"
8631,"Mokau R","Waipotipoti Stream",19,30,"Electric fishing - Backpack"
8632,"Mokau R","Mokauiti Stream",19.5,100,"Electric fishing - Backpack"
8633,"Mokau R","Mokauiti Stream",19.5,30,"Electric fishing - Backpack"
8635,"Mokau R","Waipari Stream",20,50,"Electric fishing - Backpack"
8636,"Mokau R","Waipari Stream",20,50,"Electric fishing - Backpack"
8639,"Mokau R","Pangaki Stream",19.5,80,"Electric fishing - Backpack"
8640,"Mokau R","Pangaki Stream",19.5,30,"Electric fishing - Backpack"
8641,"Mokau R","Mairoa Stream",18,90,"Electric fishing - Backpack"
